post_id,topic,likes,shares,saves,comments_count,caption,comments,post_length,post_time
107,anxiety,110,121,93,83,anxiety related content,This is so relatable,short,night
108,fitness,252,53,70,85,fitness related content,So true!,short,night
109,fitness,390,74,88,88,fitness related content,Amazing content,long,morning
110,anxiety,254,84,103,60,anxiety related content,Very helpful,short,night
111,anxiety,226,118,129,35,anxiety related content,Loved this,long,morning
112,anxiety,198,104,118,50,anxiety related content,Could be better,long,night
113,career,225,79,155,90,career related content,This is so relatable,long,afternoon
114,anxiety,102,135,95,78,anxiety related content,I disagree,long,afternoon
115,fitness,397,46,70,47,fitness related content,Amazing content,long,morning
116,anxiety,184,102,79,80,anxiety related content,Amazing content,long,afternoon
117,career,347,66,105,82,career related content,This is so relatable,short,afternoon
118,dating,371,56,63,73,dating related content,I feel the same,long,night
119,career,200,118,149,64,career related content,Loved this,short,morning
120,career,173,69,108,23,career related content,This helped me a lot,short,afternoon
121,dating,331,71,88,36,dating related content,I feel the same,short,afternoon
122,anxiety,102,101,91,57,anxiety related content,Very helpful,long,morning
123,fitness,237,71,64,92,fitness related content,Could be better,short,afternoon
124,career,191,84,122,69,career related content,This helped me a lot,short,morning
125,career,170,109,150,42,career related content,I feel the same,short,morning
126,anxiety,276,99,123,73,anxiety related content,Not really useful,short,night
127,career,167,122,97,48,career related content,Amazing content,short,afternoon
128,career,203,91,143,67,career related content,I feel the same,long,night
129,fitness,241,42,115,26,fitness related content,Very helpful,short,afternoon
130,anxiety,240,138,101,80,anxiety related content,This helped me a lot,short,afternoon
131,career,201,60,136,43,career related content,I disagree,short,afternoon
132,fitness,283,41,90,44,fitness related content,Amazing content,long,afternoon
133,dating,301,91,96,40,dating related content,Very helpful,long,afternoon
134,fitness,182,40,109,34,fitness related content,So true!,long,night
135,fitness,383,86,75,39,fitness related content,This is so relatable,short,afternoon
136,career,339,122,106,77,career related content,I disagree,short,afternoon
137,dating,265,104,78,77,dating related content,Could be better,long,morning
138,anxiety,143,109,105,46,anxiety related content,Loved this,long,afternoon
139,anxiety,285,142,99,51,anxiety related content,This is so relatable,short,afternoon
140,fitness,380,60,88,61,fitness related content,Could be better,long,morning
141,anxiety,220,115,124,45,anxiety related content,This helped me a lot,short,afternoon
142,career,231,90,150,57,career related content,So true!,long,morning
143,fitness,281,49,107,86,fitness related content,I disagree,long,afternoon
144,fitness,351,86,115,97,fitness related content,Loved this,short,night
145,career,276,66,135,75,career related content,This is so relatable,short,night
146,anxiety,108,132,76,62,anxiety related content,I feel the same,long,afternoon
147,dating,340,82,52,47,dating related content,This is so relatable,short,night
148,career,233,108,159,78,career related content,Loved this,short,night
149,fitness,301,54,104,77,fitness related content,Very helpful,long,afternoon
150,anxiety,233,94,105,68,anxiety related content,Could be better,long,morning
151,dating,207,113,63,94,dating related content,Could be better,long,morning
152,fitness,326,41,73,84,fitness related content,I feel the same,long,night
153,anxiety,242,108,80,47,anxiety related content,I feel the same,long,morning
154,anxiety,165,108,101,22,anxiety related content,Not really useful,short,morning
155,fitness,224,95,119,78,fitness related content,Could be better,short,afternoon
156,dating,472,76,76,84,dating related content,Could be better,long,afternoon
157,anxiety,111,147,138,53,anxiety related content,Amazing content,long,morning
158,fitness,374,75,62,56,fitness related content,Loved this,short,afternoon
159,dating,223,84,77,100,dating related content,Could be better,short,afternoon
160,career,151,73,82,74,career related content,Amazing content,short,afternoon
161,career,244,129,155,87,career related content,Very helpful,long,morning
162,anxiety,176,142,97,65,anxiety related content,I disagree,long,afternoon
163,career,308,129,96,94,career related content,Amazing content,long,morning
164,career,265,83,149,31,career related content,I feel the same,long,afternoon
165,anxiety,173,92,105,72,anxiety related content,This helped me a lot,short,night
166,fitness,285,81,66,36,fitness related content,So true!,short,morning
167,anxiety,203,85,81,85,anxiety related content,This helped me a lot,long,morning
168,anxiety,241,87,116,70,anxiety related content,This is so relatable,long,afternoon
169,anxiety,103,136,118,97,anxiety related content,So true!,short,afternoon
170,anxiety,177,140,127,63,anxiety related content,So true!,long,night
171,fitness,208,52,101,24,fitness related content,Not really useful,short,morning
172,fitness,248,90,82,39,fitness related content,Not really useful,short,night
173,career,217,118,160,22,career related content,This is so relatable,long,morning
174,dating,241,105,48,68,dating related content,This helped me a lot,long,afternoon
175,career,224,111,91,77,career related content,Amazing content,short,night
176,career,170,68,128,79,career related content,Very helpful,short,morning
177,anxiety,218,120,130,69,anxiety related content,I disagree,long,afternoon
178,dating,269,75,62,47,dating related content,Very helpful,long,afternoon
179,anxiety,300,113,102,86,anxiety related content,Loved this,short,night
180,career,289,95,144,43,career related content,Loved this,long,afternoon
181,dating,254,98,55,66,dating related content,This helped me a lot,long,morning
182,career,281,86,154,61,career related content,Very helpful,long,night
183,career,183,112,99,36,career related content,This is so relatable,long,afternoon
184,dating,291,65,53,87,dating related content,Loved this,long,afternoon
185,dating,201,74,85,98,dating related content,Not really useful,short,night
186,dating,485,95,93,49,dating related content,I feel the same,long,morning
187,fitness,326,66,65,40,fitness related content,This is so relatable,short,night
188,career,156,95,140,64,career related content,So true!,short,night
189,fitness,251,53,63,76,fitness related content,Amazing content,short,night
190,anxiety,230,85,108,99,anxiety related content,I disagree,long,night
191,anxiety,223,144,137,68,anxiety related content,Could be better,long,afternoon
192,career,185,89,111,41,career related content,This is so relatable,long,night
193,anxiety,209,81,94,65,anxiety related content,Very helpful,long,night
194,fitness,310,96,83,60,fitness related content,This helped me a lot,long,morning
195,anxiety,149,113,136,38,anxiety related content,I disagree,long,afternoon
196,fitness,368,61,117,35,fitness related content,So true!,long,afternoon
197,dating,427,75,91,27,dating related content,I feel the same,long,night
198,fitness,323,48,111,92,fitness related content,So true!,long,night
199,anxiety,279,94,76,85,anxiety related content,Could be better,long,morning
